"","area_name","fips","state_abbreviation","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","educatedpeople","votes"
"108","Lyon County",19119,"IA",11683,11581,0.9,11581,7.3,28.1,16.9,49.8,98.3,0.3,0.3,0.3,0.1,0.7,2.7,95.9,92.5,1.1,2,89.1,17.6,689,18.1,4965,82.3,5.5,105700,4425,2.6,23683,52152,8,389,3344,-2.2,983,1328,0,0,0,0,0,13.2,100917,215272,91091,8113,0,55,587.65,19.7,1040955.3,4365
"109","Madison County",19121,"IA",15609,15679,-0.4,15679,5.8,26,16.3,50.2,97.6,0.5,0.4,0.5,0,1,1.5,96.4,89.3,1.4,1.8,94.2,21.5,1365,26.5,6684,76.8,10.8,160700,6092,2.52,27685,57581,8.9,354,2450,-6.8,1271,1304,0,0,0,0,0,30.5,0,0,80594,5253,7596,55,561.01,27.9,1470367.8,1946
"110","Mahaska County",19123,"IA",22370,22381,0,22381,6.1,23.7,16.9,49.6,95.9,1.3,0.4,1.2,0,1.1,1.9,94.3,84.7,1.5,2.4,90.5,21.5,1481,17.9,9726,70.5,14.1,100900,9073,2.4,23788,47967,15.9,576,6881,0.3,1442,1977,0,0,0,0,0,25.4,1618526,0,242911,10995,16819,64,570.86,39.2,2024485,2658
"111","Marion County",45067,"SC",31933,33062,-3.4,33062,6.1,23.4,17.1,53.8,40.9,56.5,0.7,0.7,0,1.1,2.7,39.2,93,2.1,3.2,81.8,13.6,2124,26,14794,67.1,9,77800,12049,2.69,16531,29149,27.4,506,6965,-5.4,1604,2155,18.4,0,1.9,0,0,22.8,367664,104394,269937,7925,31211,15,489.23,67.6,2612119.4,10920
"112","Marion County",19125,"IA",33365,33309,0.2,33309,6.1,24.1,16.4,50.1,96.3,1,0.2,1.4,0,1,1.9,94.7,83.6,2.3,2.9,92.4,25,2484,20.3,13984,75.8,13.9,132000,12691,2.48,25477,54723,9.2,810,15685,1.1,2134,3254,0,0,0,0,0,20,1856906,0,333092,10201,28951,125,554.53,60.1,3082926,10920
"113","Marlboro County",45069,"SC",27924,28933,-3.5,28933,5.4,20.7,15.2,46.8,42.1,51,4.7,0.4,0.1,1.8,3.2,39.9,87.2,1.9,3,69.9,8.7,1873,23.1,11950,66.1,9.3,58200,9779,2.58,14577,28297,30.7,328,4791,1.6,934,877,0,0,0,0,0,15.8,989848,0,158984,5499,13417,9,479.67,60.3,1951887.6,4133
"114","Marshall County",19127,"IA",40866,40648,0.5,40648,7,24.9,17.5,49.5,92.4,2,0.8,2.8,0.2,1.8,19.9,73.9,86,12.1,18.4,85.2,19.3,3538,17.3,16718,73.4,17.1,105400,15350,2.58,24117,51555,12.1,792,14459,-0.1,1875,2532,0,0,0,0,0,28.8,1848040,298112,407694,10434,40400,10,572.5,71,3481783.2,4123
"115","McCormick County",45065,"SC",9846,10233,-3.8,10233,3.2,12.8,29.8,44.9,49.6,48.6,0.2,0.5,0.1,1.1,1.2,48.7,89.2,1.5,2.9,78.8,18.2,1155,29.4,5468,79.3,4.7,112500,4069,2.15,22150,40028,17.2,88,960,-4.1,511,866,28.7,0,0,0,0,0,0,0,34750,3449,1954,24,359.13,28.5,775864.8,2951
"116","Merrimack County",33013,"NH",147171,146442,0.5,146445,4.8,19.9,16.1,50.7,95,1.4,0.3,1.9,0,1.4,1.9,93.4,86.7,3.9,5.2,92.1,33.3,12976,25.7,63643,72.2,24.4,231000,56812,2.47,31310,65353,8.7,4031,60018,-0.9,10928,15444,0,0,1.2,0,0.9,24.6,1539636,2812352,2605617,17536,223534,312,934.12,156.8,13554449.1,62712
"117","Mills County",19129,"IA",14831,15059,-1.5,15059,5.7,24.2,15.8,49.9,96.9,0.6,0.5,0.7,0.1,1.3,2.6,94.5,90,0.8,2.4,92.1,24,1347,25.2,6088,83.7,9,149400,5375,2.67,27101,63076,7,294,2089,-3.4,926,1101,0,0,0,0,0,32.7,0,23046,78569,5187,5388,3,437.44,34.4,1365935.1,1620
